method,n,strict_qc,mean_median,mean_p90,mean_nasal_median,landmark_penalty
Geometry-landmark similarity,380,0,0.1543,0.3149,0.1743,0.3349
Landmark Laplacian adaptive template,380,0,0.1553,0.3225,0.1755,0.0017
