stage,cases,full_median_before,full_median_after,full_median_reduction_pct,nose_median_before,nose_median_after,nose_median_reduction_pct,nose_p90_before,nose_p90_after,nose_p90_reduction_pct,full_improved_cases,nose_improved_cases,max_eye_fixed
strict_rigid_pass_s8,236,0.011231422992585066,0.008167263235041933,27.28202614723065,0.016736356332765462,0.007087989136841306,57.64915017395481,0.03711155654628543,0.023755237329329323,35.98964974777639,236,236,0.0
anchor_only_recovery_s8,84,0.014825522214226275,0.010452163647110485,29.49885005007919,0.019939898263950154,0.008685874614322363,56.439724519428594,0.05149454239769305,0.03354510727351263,34.85696597817433,84,84,0.0
broadfail_probe_s8,60,0.03073147086536315,0.02510405157973359,18.311584597703444,0.027850993749497312,0.01298034301312488,53.393609111850225,0.06122588705863821,0.039538338652791556,35.42218732588671,59,60,0.0

