example,full_median_before_mm,full_median_after_mm,nose_median_before_mm,nose_median_after_mm,nose_p90_before_mm,nose_p90_after_mm,eye_fixed_max_mm
Example 1,1.56,1.24,1.41,0.99,3.04,1.90,0.00
Example 2,1.67,1.30,1.81,0.94,3.63,1.58,0.00
