case,subject,stage,status,landmark_keys,similarity_scale,qc_pass,upside_down,median,p90,nose_weighted_median,source_nose_anchor_distance,eye_over_mouth_norm,nose_over_mouth_norm,vertical_z,landmark_nose_distance,landmark_left_eye_distance,landmark_right_eye_distance,landmark_mouth_distance,landmark_chin_distance,landmark_penalty
001_15_lip_roll,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.0516704652359279,0,0,0.1877361144819576,0.3782233902942145,0.18289464890565174,0.5151294041995659,0.34190077790492057,0.12291223926258357,0.49188734354481667,0.00151081495173418,0.001886511183747566,0.001156811460510638,0.0010120049808485102,0.0036069585313957143,0.0016110222883568084
001_16_grin,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.067261692720382,0,0,0.1982540585170556,0.4203513281780568,0.14518895393718728,0.5872915873857057,0.24729854698428116,0.10786862436366534,0.45980525013507617,0.5086771061342906,0.36838948327732285,0.29540200149408075,0.27347562213259513,0.29622591687374095,0.384820830836458
001_16_grin,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.067261692720382,0,0,0.21036026806306704,0.41495577170529935,0.18384842993436545,0.5085601809684823,0.2908065627866708,0.12025208459922335,0.45328506017002773,0.0015330091932011904,0.0018969186734835444,0.0016936706406622745,0.0016643961187475566,0.004452537115074478,0.0018955901070985056
001_17_cheek_blowing,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.111219773405725,0,0,0.2049103949702668,0.44679946091543943,0.16258528989578594,0.552557682291449,0.25989751293911695,0.1005647121203482,0.45255947318804934,0.4767412984883366,0.32384800052525564,0.286072820168103,0.24432450229416894,0.32069396044744153,0.3598994683446754
001_17_cheek_blowing,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.111219773405725,0,0,0.20016236803195556,0.43126067097112186,0.18174601828768014,0.4923138930931521,0.30602919334832807,0.12342537519025407,0.4786151726819874,0.001464244343117217,0.0016286814327806929,0.0016636513023939002,0.0009093479109024482,0.004507481472808136,0.0017022608668724255
001_19_brow_raiser,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.1237693287735253,0,0,0.2130156233008459,0.4601220302287996,0.1534745930613965,0.5501959228075546,0.2355698142490783,0.09603866365356005,0.4325609409167091,0.47094518118571,0.3465012511864422,0.29514443578400884,0.24381063310446804,0.30118397108249345,0.3625571079353384
001_19_brow_raiser,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.1237693287735253,0,0,0.20190077568903897,0.4556192287319738,0.17257225663770756,0.4950390257013746,0.2678777928985328,0.11251129665165484,0.43098072237799245,0.0014700419343800617,0.002059604311668574,0.0014652221069616429,0.000963759084093132,0.004115983585507644,0.0017278483776457464
001_1_neutral,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.9753945080866705,0,0,0.1879891891913054,0.39781008090671494,0.19818761407723742,0.551372948262082,0.3566609742533317,0.08522009069239898,0.5370036701662401,0.49911634800826715,0.315483066222842,0.3904314551126567,0.28230344200304,0.3796108438444229,0.3979440829912929
001_1_neutral,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.9753945080866705,0,0,0.18363548268424115,0.3683509013239458,0.20273173200297687,0.4292241387689372,0.3802524469592166,0.11802939628223104,0.5177511843332029,0.0018471394235507327,0.0015504890712469295,0.0020734401648127435,0.0009084640328809574,0.004580580101715852,0.0019149768641723043
001_20_brow_lower,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.1690800762140288,0,0,0.23350617652038516,0.49774624746782586,0.15419035983132526,0.5473085460638214,0.2587991983065321,0.09252506214103637,0.46893869183072967,0.46890877380042983,0.3243530123976145,0.2853224331562899,0.23739239437916482,0.3100579362240668,0.35509908826264036
001_20_brow_lower,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.1690800762140288,0,0,0.2230198714763004,0.4823136628479152,0.17279339759652965,0.48508060070912606,0.3010671504593772,0.1153240230822522,0.4903373587638139,0.0014356932037394368,0.0016471274955530489,0.0016872701727412346,0.0008692399204779766,0.004408187075065286,0.001686357339203088
001_2_smile,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.0081985818587227,0,0,0.18983604584135574,0.41183962681853176,0.18521928992207193,0.5514808629122662,0.3313638288945684,0.08825375898632443,0.5070088616699879,0.49755521779260536,0.29533003365368077,0.3802844932084753,0.2817056871368233,0.3822871783744433,0.39136073529843785
001_2_smile,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",1.0081985818587227,0,0,0.18150933892379983,0.3767952117730953,0.1967501772512562,0.4603882985149002,0.3633603246770028,0.12293849708415863,0.5049176162104612,0.001980172152040157,0.0017867719733782685,0.002447425015401161,0.001090177132638862,0.005344889169365404,0.00217620116772967
001_3_mouth_stretch,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",0.994481084542628,0,0,0.17191521372311594,0.33018275396396357,0.16341983380751002,0.6014968273181088,0.3530881138187754,0.12561526224575897,0.523703512089937,0.5431381982202219,0.30302365240869983,0.2500286786031834,0.25031658404625706,0.36191391679448637,0.3768308411135133
001_3_mouth_stretch,001,dai_lb_adaptive_template,ok,"nose,left_eye,right_eye,mouth,chin",0.994481084542628,0,0,0.18062745516648165,0.32973738433393285,0.1983060286574663,0.4747035561208641,0.38326987763544795,0.1435345882730352,0.523143083852646,0.0020817441563036375,0.0016413918268653944,0.0012930266071352115,0.002015973926382919,0.007037051365906004,0.0022246133799439924
001_4_anger,001,dai_landmark_similarity,ok,"nose,left_eye,right_eye,mouth,chin",1.1049854438783946,0,0,0.21550727434560293,0.43772057107054746,0.15764961779242753,0.5536157352994645,0.2738904339004372,0.09881070603031494,0.46089215976960296,0.48242263004310765,0.32368317822542786,0.283989649145354,0.2548880406893949,0.31708070550909184,0.36279400138329093
