case,diagnostic_png,down_source,down_target,error,eye_over_mouth_norm,final_similarity_scale,method,nose_over_mouth_norm,nose_weighted_median,pre_scale,qc_pass,report_json,rigid_scale,runtime_sec,similarity_median,similarity_p90,source_nose_anchor_distance,target_fit_vertices,target_roi_vertices,upside_down,vertical_z,voxel
001_10_dimpler,,1286,1837,,0.3209055392467371,0.4259455659700713,facecrop_fpfh_ransac,0.10858552059483906,0.018622136799182242,0.43060070694702,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_10_dimpler/001_10_dimpler_scratch_surface_registration_report.json,0.4259455659700713,1.9367108345031738,0.028630108150830523,0.10511971042013103,0.17857444385177954,90000,178616,0,0.6542652570755664,0.02645061509676317
001_10_dimpler,,1286,1837,,0.42532688595293455,0.42594556597007455,facecrop_fpfh_ransac_icp,0.1595535202668923,0.031027158700355283,0.43060070694702,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_10_dimpler/001_10_dimpler_scratch_surface_registration_report.json,0.42594556597007455,2.1736087799072266,0.021297253095053325,0.058259354881594394,0.19443030477400194,90000,178616,0,0.8796636949299272,0.02645061509676317
001_10_dimpler,,1286,1837,,0.10157726756430158,0.43060070694701985,facecrop_fpfh_fgr,0.09023269579777267,0.04614857059271189,0.43060070694702,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_10_dimpler/001_10_dimpler_scratch_surface_registration_report.json,0.43060070694701985,2.760171890258789,0.09178362353186528,0.2319034783055294,0.2067936725282027,90000,178616,1,0.22986543413321742,0.02645061509676317
001_10_dimpler,,1286,1837,,-0.05689733090805244,0.43060070694702374,facecrop_fpfh_fgr_icp,0.013753194553549642,0.012878516852673917,0.43060070694702,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_10_dimpler/001_10_dimpler_scratch_surface_registration_report.json,0.43060070694702374,3.135287284851074,0.04647365378741079,0.14828573850117602,0.08401798497378148,90000,178616,1,-0.11504966621522655,0.02645061509676317
001_10_dimpler,,1286,1837,,0.10925792603258416,0.43060070694702,facecrop_bbox_prescale_only,0.23174746020318385,0.06964650987544464,0.43060070694702,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_10_dimpler/001_10_dimpler_scratch_surface_registration_report.json,0.43060070694702,3.491158962249756,0.08925286889606193,0.23454905703272225,0.23557240008768743,90000,178616,1,0.1195687848258657,0.02645061509676317
001_11_chin_raiser,,1212,1837,,-0.2721774335780326,0.44312883610666476,facecrop_fpfh_ransac,-0.15539382201427357,0.01920693856455532,0.422598767562776,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_11_chin_raiser/001_11_chin_raiser_scratch_surface_registration_report.json,0.44312883610666476,1.8061301708221436,0.026217113497896242,0.07555151945049968,0.22967844543025517,90000,178616,1,-0.5081170312229413,0.02645061509676317
001_11_chin_raiser,,1212,1837,,-0.36654969364223144,0.44312883610666665,facecrop_fpfh_ransac_icp,-0.19747040096848423,0.012695129776533394,0.422598767562776,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_11_chin_raiser/001_11_chin_raiser_scratch_surface_registration_report.json,0.44312883610666665,2.044487237930298,0.02054080100244431,0.06217584792562935,0.1964452325591424,90000,178616,1,-0.6073759439052332,0.02645061509676317
001_11_chin_raiser,,1212,1837,,0.1351443389566122,0.422598767562776,facecrop_fpfh_fgr,0.2046024591110326,0.16221600539541114,0.422598767562776,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_11_chin_raiser/001_11_chin_raiser_scratch_surface_registration_report.json,0.422598767562776,2.5094854831695557,0.11725469375486747,0.20759307486577752,0.31405429569964455,90000,178616,1,0.15703193023780965,0.02645061509676317
001_11_chin_raiser,,1212,1837,,0.44194341658562514,0.422598767562779,facecrop_fpfh_fgr_icp,0.24614658329213515,0.2558051276971885,0.422598767562776,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_11_chin_raiser/001_11_chin_raiser_scratch_surface_registration_report.json,0.422598767562779,2.947493553161621,0.08429223763703252,0.25272809012831965,0.36087266742196783,90000,178616,0,0.6910947180115157,0.02645061509676317
001_11_chin_raiser,,1212,1837,,0.1351443389566122,0.422598767562776,facecrop_bbox_prescale_only,0.2046024591110326,0.08296332607752305,0.422598767562776,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/001_11_chin_raiser/001_11_chin_raiser_scratch_surface_registration_report.json,0.422598767562776,3.313302516937256,0.0948859572934578,0.22330328100161115,0.23447901868241125,90000,178616,1,0.15703193023780965,0.02645061509676317
