metric,domain,pairs,subjects,s8_mean_of_subject_means,arap_mean_of_subject_means,paired_mean_subject_difference,ci_low,ci_high,exact_subject_sign_flip_p,holm_adjusted_p_within_domain,direct_anchor_only
post_full_median_mm,fit,190,10,2.5652981081986432,3.230556651740277,0.6652585435416342,0.5064322410400919,0.8545020086141091,0.001953125,0.009765625,False
post_full_p90_mm,fit,190,10,12.209072550686114,13.022776875082698,0.8137043243965841,0.5471210949289296,1.0575426376098616,0.001953125,0.009765625,False
post_nose_median_mm,fit,190,10,0.898688242326269,2.4120087002996518,1.5133204579733825,1.072513094729465,2.1262074898310277,0.001953125,0.009765625,False
post_nose_p90_mm,fit,190,10,2.9442660456466463,5.294921752439568,2.350655706792921,1.8141329976453873,2.970124801024483,0.001953125,0.009765625,False
post_anchor_mm,fit,171,9,9.878332205759655,9.477223191088491,-0.40110901467116555,-0.9870075252262847,0.23196317427883648,0.2421875,0.2421875,True
edge_strain_p99,deformation,190,10,0.1624820741960482,0.04612139787430635,-0.11636067632174185,-0.1470269647802076,-0.08911456639811295,0.001953125,0.005859375,False
eye_fixed_max_mm,deformation,190,10,0.0,5.253774682535675e-12,5.253774682535675e-12,4.810605933896755e-12,5.7290463837518145e-12,0.001953125,0.005859375,False
displacement_p90_mm,deformation,190,10,2.4748425317409457,0.48705668175700173,-1.9877858499839438,-2.6412934948017806,-1.5381368231875099,0.001953125,0.005859375,False
